n;t
621;3.68e-06
622;3.68e-06
623;3.74e-06
624;3.7e-06
625;3.8e-06
626;3.69e-06
627;3.99e-06
628;3.96e-06
629;3.83e-06
630;3.66e-06
631;3.62e-06
632;3.66e-06
633;3.63e-06
634;3.68e-06
635;3.67e-06
636;3.72e-06
637;3.65e-06
638;3.66e-06
639;3.69e-06
640;3.67e-06
641;3.71e-06
642;3.72e-06
643;3.71e-06
644;3.74e-06
645;3.75e-06
646;3.74e-06
647;3.73e-06
648;3.76e-06
649;3.58e-06
650;3.61e-06
651;3.51e-06
652;3.5e-06
653;3.54e-06
654;3.49e-06
655;3.53e-06
656;3.529e-06
657;3.51e-06
658;3.52e-06
659;3.52e-06
660;3.54e-06
661;3.53e-06
662;3.52e-06
663;3.57e-06
664;3.57e-06
665;3.58e-06
666;3.57e-06
667;3.67e-06
668;3.579e-06
669;3.58e-06
670;3.59e-06
671;3.6e-06
672;3.71e-06
673;3.62e-06
674;3.63e-06
675;3.62e-06
676;3.62e-06
677;3.61e-06
678;3.64e-06
679;3.63e-06
680;3.66e-06
681;3.65e-06
682;3.67e-06
683;1.488e-05
684;5.2e-06
685;5.24e-06
686;5.39e-06
687;4.83e-06
688;3.9e-06
689;4.35e-06
690;1.608e-05
691;4.1e-06
692;3.98e-06
693;3.76e-06
694;3.71e-06
695;3.73e-06
696;3.72e-06
697;3.7e-06
698;3.72e-06
699;3.71e-06
700;3.75e-06
701;3.77e-06
702;3.779e-06
703;3.74e-06
704;3.76e-06
705;3.77e-06
706;3.75e-06
707;3.78e-06
708;3.79e-06
709;3.81e-06
710;3.78e-06
711;3.8e-06
712;4.92e-06
713;3.85e-06
714;4e-06
715;7.88e-06
716;4.01e-06
717;3.88e-06
718;3.83e-06
719;3.85e-06
720;3.82e-06
721;3.829e-06
722;3.86e-06
723;3.86e-06
724;3.85e-06
725;3.86e-06
726;3.85e-06
727;3.86e-06
728;3.92e-06
729;3.9e-06
730;3.9e-06
731;3.89e-06
732;3.91e-06
733;4.01e-06
734;3.93e-06
735;3.91e-06
736;3.89e-06
737;3.94e-06
738;3.95e-06
739;3.94e-06
740;3.93e-06
741;3.94e-06
742;3.96e-06
743;3.97e-06
744;3.97e-06
745;3.97e-06
746;3.98e-06
747;3.98e-06
748;3.96e-06
749;3.99e-06
750;4.01e-06
751;3.99e-06
752;3.979e-06
753;4.06e-06
754;4.02e-06
755;4.04e-06
756;4.05e-06
757;4e-06
758;4.04e-06
759;4.04e-06
760;4.03e-06
761;4.04e-06
762;4.05e-06
763;4.01e-06
764;4.06e-06
765;4.06e-06
766;4.5e-06
767;4.45e-06
768;4.43e-06
769;4.4e-06
770;4.46e-06
771;4.42e-06
772;5.47e-06
773;5.01e-06
774;4.65e-06
775;4.539e-06
776;4.61e-06
777;4.62e-06
778;4.53e-06
779;4.59e-06
780;4.609e-06
781;4.65e-06
782;4.63e-06
783;4.99e-06
784;4.93e-06
785;4.96e-06
786;4.91e-06
787;4.99e-06
788;4.66e-06
789;4.64e-06
790;4.8e-06
791;4.65e-06
792;4.78e-06
793;4.55e-06
794;4.53e-06
795;4.579e-06
796;4.89e-06
797;4.88e-06
798;4.87e-06
799;4.96e-06
800;4.86e-06
801;4.89e-06
802;4.95e-06
803;4.94e-06
804;4.89e-06
805;4.93e-06
806;4.97e-06
807;4.95e-06
808;4.97e-06
809;4.94e-06
810;5.01e-06
811;4.93e-06
812;4.98e-06
813;4.99e-06
814;4.95e-06
815;4.99e-06
816;4.97e-06
817;5.03e-06
818;4.97e-06
819;5.03e-06
820;5.05e-06
821;5.02e-06
822;5.05e-06
823;5.02e-06
824;5.04e-06
825;5.01e-06
826;5.02e-06
827;5.049e-06
828;5.079e-06
829;5.03e-06
830;5.05e-06
831;5.11e-06
832;5.05e-06
833;6.18e-06
834;6.15e-06
835;5.28e-06
836;5.06e-06
837;5.07e-06
838;4.82e-06
839;4.84e-06
840;4.76e-06
841;4.8e-06
842;4.73e-06
843;4.769e-06
844;4.749e-06
845;4.76e-06
846;4.82e-06
847;4.76e-06
848;4.55e-06
849;4.479e-06
850;4.47e-06
851;4.49e-06
852;4.47e-06
853;4.66e-06
854;4.94e-06
855;5.819e-06
856;4.99e-06
857;4.82e-06
858;4.85e-06
859;4.83e-06
860;4.86e-06
861;4.87e-06
862;4.83e-06
863;4.87e-06
864;4.88e-06
865;4.58e-06
866;4.55e-06
867;4.57e-06
868;4.58e-06
869;4.57e-06
870;4.57e-06
871;4.55e-06
872;4.6e-06
873;4.6e-06
874;4.59e-06
875;4.62e-06
876;4.63e-06
877;4.6e-06
878;4.61e-06
879;4.63e-06
880;4.6e-06
881;5.08e-06
882;6.54e-06
883;6.37e-06
884;4.97e-06
885;4.7e-06
886;4.59e-06
887;4.59e-06
888;4.64e-06
889;4.63e-06
890;4.62e-06
891;4.82e-06
892;9.94e-06
893;5.799e-06
894;5.1e-06
895;5.68e-06
896;4.82e-06
897;4.86e-06
898;4.82e-06
899;4.71e-06
900;4.72e-06
901;4.689e-06
902;4.69e-06
903;4.67e-06
904;4.7e-06
905;4.71e-06
906;4.72e-06
907;4.759e-06
908;4.75e-06
909;4.729e-06
910;4.76e-06
911;4.719e-06
912;4.77e-06
913;4.729e-06
914;5.03e-06
915;4.82e-06
916;5.77e-06
917;5.14e-06
918;4.819e-06
919;4.78e-06
920;4.77e-06
921;4.79e-06
922;4.8e-06
923;4.979e-06
924;4.79e-06
925;4.81e-06
926;4.79e-06
927;4.83e-06
928;4.799e-06
929;4.83e-06
930;4.81e-06
931;4.85e-06
932;4.82e-06
933;4.85e-06
934;4.84e-06
935;4.86e-06
936;4.88e-06
937;4.82e-06
938;4.87e-06
939;4.87e-06
940;4.99e-06
941;4.89e-06
942;4.89e-06
943;4.88e-06
944;4.9e-06
945;4.9e-06
946;4.889e-06
947;4.9e-06
948;4.9e-06
949;4.91e-06
950;4.92e-06
951;4.93e-06
952;4.93e-06
953;4.91e-06
954;4.93e-06
955;4.92e-06
956;5.069e-06
957;4.99e-06
958;4.95e-06
959;4.97e-06
960;4.94e-06
961;6.819e-06
962;5.91e-06
963;5.32e-06
964;5.98e-06
965;5.08e-06
966;5.06e-06
967;5.1e-06
968;5.06e-06
969;4.979e-06
970;5.14e-06
971;5.05e-06
972;5e-06
973;5.04e-06
974;5.03e-06
975;4.999e-06
976;5.07e-06
977;5.02e-06
978;5.01e-06
979;5.47e-06
980;5.37e-06
981;5.17e-06
982;5.32e-06
983;5.08e-06
984;5.079e-06
985;5.09e-06
986;5.21e-06
987;5.1e-06
988;5.12e-06
989;5.08e-06
990;5.13e-06
991;5.1e-06
992;5.1e-06
993;5.11e-06
994;5.1e-06
995;5.14e-06
996;5.14e-06
997;5.1e-06
998;5.15e-06
999;5.15e-06
1000;5.12e-06
1001;5.32e-06
1002;5.19e-06
