n;t
9;7.6e-07
9;6.9e-07
10;6.7e-07
9;6.9e-07
9;7.5e-07
9;2.05e-06
9;7.5e-07
9;6.5e-07
9;6.9e-07
9;7.3e-07
9;6.6e-07
9;6.9e-07
9;6.9e-07
9;6.5e-07
9;7.7e-07
9;7.2e-07
9;7.5e-07
9;7.3e-07
9;7.2e-07
9;6.9e-07
9;6.7e-07
9;7.2e-07
9;8.5e-07
9;7.6e-07
10;7e-07
9;6.9e-07
9;7.2e-07
9;7.2e-07
9;7.7e-07
9;7.3e-07
9;6.5e-07
9;9.4e-07
9;8.1e-07
9;6.9e-07
9;7.7e-07
9;7.1e-07
9;7e-07
9;7e-07
9;6.8e-07
9;7.3e-07
9;7.3e-07
9;7.7e-07
9;7.1e-07
9;7e-07
9;7.2e-07
9;6.8e-07
9;6.5e-07
9;7.5e-07
10;7.2e-07
9;6.9e-07
9;6.9e-07
9;6.5e-07
9;7.3e-07
10;6.9e-07
9;7.8e-07
10;7.6e-07
9;7.1e-07
9;9.9e-07
9;1.32e-06
9;8.1e-07
9;1.45e-06
10;1.08e-06
9;6.8e-07
9;7.2e-07
9;7e-07
10;7.2e-07
9;6.6e-07
9;8.8e-07
9;7.5e-07
10;1.36e-06
9;9.7e-07
9;5.3e-07
9;6.5e-07
9;5.1e-07
10;5e-07
9;7.8e-07
9;7.1e-07
10;6.9e-07
9;6.7e-07
9;6.6e-07
9;8.4e-07
9;6e-07
9;6.5e-07
10;6.5e-07
9;5.5e-07
9;5.6e-07
9;5.9e-07
9;5.9e-07
9;5.2e-07
10;5.8e-07
9;5.6e-07
9;5.3e-07
10;7.2e-07
9;5.9e-07
9;5.9e-07
10;5.9e-07
9;6.9e-07
9;5.3e-07
9;5.7e-07
10;6e-07
9;5.6e-07
10;6e-07
10;5.7e-07
10;5.9e-07
10;6.9e-07
9;7e-07
9;5.8e-07
9;8.9e-07
9;7.8e-07
9;5.6e-07
9;4.8e-07
9;5.6e-07
9;5.1e-07
10;4.8e-07
9;4.9e-07
9;4.7e-07
9;4.6e-07
8;4.4e-07
9;4.8e-07
10;4.7e-07
10;5.1e-07
10;4.7e-07
9;5.2e-07
9;5.1e-07
9;5.2e-07
9;5.3e-07
9;5e-07
10;4.9e-07
9;5e-07
9;4.6e-07
9;5e-07
10;5.2e-07
9;4.89e-07
9;5.7e-07
10;5e-07
10;5e-07
9;4.6e-07
9;5.1e-07
10;5.6e-07
9;4.8e-07
9;5e-07
9;4.7e-07
10;5.3e-07
9;4.8e-07
9;4.5e-07
10;5e-07
9;6.2e-07
10;6.8e-07
9;7.6e-07
9;6.8e-07
10;5.2e-07
9;5.7e-07
9;5.1e-07
9;6.3e-07
10;5.2e-07
9;5e-07
9;5e-07
9;5.6e-07
9;5.1e-07
10;5.6e-07
10;5.6e-07
10;5.1e-07
9;5.5e-07
9;6.1e-07
9;5.2e-07
9;6e-07
9;8.56e-06
10;5.9e-07
9;5.4e-07
10;6.9e-07
10;5.2e-07
10;1.29e-06
10;5.9e-07
9;5.4e-07
10;5.1e-07
10;5.2e-07
9;4.9e-07
10;4.9e-07
9;4.9e-07
9;5.2e-07
9;4.8e-07
9;4.9e-07
9;4.8e-07
9;4.5e-07
10;5e-07
10;4.9e-07
9;4.8e-07
9;5.1e-07
10;5.1e-07
10;5.3e-07
9;5.1e-07
9;7.1e-07
10;6.1e-07
9;1.36e-06
9;5.3e-07
9;5.1e-07
9;4.9e-07
10;5.6e-07
9;5.29e-07
10;5.4e-07
10;4.9e-07
10;5.2e-07
9;5e-07
10;5.2e-07
9;5e-07
10;4.8e-07
10;4.7e-07
10;5.2e-07
10;5.2e-07
10;4.8e-07
10;5e-07
10;5.4e-07
9;5.3e-07
10;5.4e-07
9;5.1e-07
10;5e-07
10;4.7e-07
10;5.2e-07
9;4.7e-07
10;5.2e-07
9;4.7e-07
10;5.2e-07
10;5.2e-07
9;4.7e-07
9;4.6e-07
10;5.4e-07
10;6.9e-07
9;5.2e-07
9;7.5e-07
10;5.7e-07
